id,score_date,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,region_emea,region_apac,region_latam,region_amer,customer_age_quarters,sales_assisted,legacy_flag,product_counts,billing_dunning_not_ok,crm_industry_current,crm_employee_range,crm_success_owner_change,csat_score,csat_response_rate,nps_score,nps_score_all_time,avg_nps_rating,avg_nps_rating_all_time,outreach_call_90dayflag,num_low_sev_outages,num_high_sev_outages,has_high_sev_outage,months_since_high_sev_outage,num_tickets_deflected,max_tickets_per_agent,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr,discount_arr_usd,team_plus,pro_plus,ent_plus,discount_arr_usd_percentage,product_counts_percentage,total_pool_max_agents,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease
JMAN_9005620,03-03-2023,0,1,0,0,0,0,0,0,1,17,0,0,5,0,Technology,01-Sep,0,0,0,,,,,0,11,0,0,12.0,0,15,1608.0,1824.0,216.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,3.0,0.0,3.0,3.0,0,1,1.0,1.0,0,0
JMAN_18410388,24-02-2023,0,1,0,0,0,1,0,0,0,17,0,0,1,0,,01-Sep,0,0,0,,,,,0,0,0,0,,0,0,672.0,672.0,0.0,0.0,0.0,0.0,0.0,1,0,0,100,100,0,4.0,0.0,,4.0,0,0,0.0,0.0,0,0
JMAN_2430783,10-03-2023,0,1,0,0,0,0,0,0,1,17,0,0,5,0,,01-Sep,0,0,0,,,,,0,10,0,0,12.0,0,0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2235384,20-01-2023,0,1,0,1,0,1,0,0,0,19,0,0,3,0,"Retail, Wholesale & Distribution",1000 - 4999,0,0,0,,,,,0,0,0,0,13.0,0,152,1452.0,1452.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_14567352,17-03-2023,0,1,0,0,0,0,0,0,1,3,1,0,1,0,Manufacturing & Resources,Oct-49,0,0,0,,,,,0,9,0,0,,0,4,2352.0,2352.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,4.0,0.0,4.0,4.0,0,0,1.0,1.0,0,0
JMAN_9020594,06-01-2023,0,1,0,0,0,0,1,0,0,16,0,0,3,0,Manufacturing & Resources,Oct-49,0,0,0,,,,,0,5,0,0,10.0,0,10,540.0,660.0,120.0,0.0,120.0,0.0,0.0,0,0,0,100,100,0,9.0,0.222222222,9.0,9.0,0,1,1.0,1.0,0,0
JMAN_2482735,17-02-2023,0,1,0,0,0,0,0,0,1,17,0,0,6,0,Manufacturing & Resources,Oct-49,0,0,0,,,,,0,11,0,0,5.0,0,6,936.0,1788.0,852.0,0.0,0.0,564.0,0.0,1,1,0,100,100,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9020327,13-01-2023,0,1,1,0,0,0,0,0,1,16,1,0,4,0,Healthcare,250 - 499,0,100,100,,,,,0,6,0,0,4.0,134,73,22056.0,22056.0,0.0,0.0,0.0,0.0,0.0,1,1,1,100,100,0,12.0,0.125,9.0,12.0,0,1,0.666666667,0.75,0,1
JMAN_9898535,10-02-2023,0,1,0,0,0,0,0,0,1,11,0,0,2,0,Healthcare,01-Sep,0,0,0,,,,,0,7,1,1,1.0,0,0,60.0,,-60.0,0.0,0.0,-60.0,0.0,0,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_17656192,10-02-2023,0,1,0,0,0,0,0,1,0,17,0,0,1,0,"Retail, Wholesale & Distribution",Oct-49,0,0,0,,,,,0,0,0,0,,0,0,168.0,168.0,0.0,0.0,0.0,0.0,0.0,1,0,0,100,100,0,1.0,0.0,,1.0,0,0,0.0,0.0,0,0
