id,score_date,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,region_emea,region_apac,region_latam,region_amer,customer_age_quarters,sales_assisted,legacy_flag,product_counts,billing_dunning_not_ok,crm_industry_current,crm_employee_range,crm_success_owner_change,csat_score,csat_response_rate,nps_score,nps_score_all_time,avg_nps_rating,avg_nps_rating_all_time,outreach_call_90dayflag,num_low_sev_outages,num_high_sev_outages,has_high_sev_outage,months_since_high_sev_outage,num_tickets_deflected,max_tickets_per_agent,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr,discount_arr_usd,team_plus,pro_plus,ent_plus,discount_arr_usd_percentage,product_counts_percentage,total_pool_max_agents,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease,upsell_flag
JMAN_2446861,2023-02-03,0,1,0,0,1,1,0,0,0,17,0,0,5,0,Energy & Utilities,250 - 499,0,0,0,,,,,0,0,0,0,14.0,0,9,2438.16,2545.92,0.0,323.52,0.0,0.0,0.0,1,0,0,100,100,0,11.0,0.0,11.0,11.0,0,1,1.0,1.0,0,0,1
JMAN_2447281,2023-02-03,0,1,0,0,0,0,0,0,1,17,0,0,6,0,Manufacturing & Resources,01-Sep,0,0,0,,,,,0,10,0,0,5.0,0,0,2478.6,2916.0,437.4,0.0,0.0,0.0,-437.4,1,1,0,150,100,0,2.0,0.0,2.0,2.0,0,0,1.0,1.0,0,0,1
JMAN_2447679,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,3,0,,01-Sep,0,0,0,,,,,0,9,1,1,0.0,0,0,194.76,198.6,0.0,3.84,0.0,0.0,0.0,0,0,0,100,100,0,3.0,0.0,2.0,3.0,0,0,0.666666667,0.666666667,0,0,1
JMAN_2448001,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,3,0,Healthcare,01-Sep,0,0,0,,,,,0,0,0,0,14.0,0,0,1155.84,1178.28,0.0,22.44,0.0,0.0,0.0,1,1,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_2448129,2023-02-03,1,0,0,0,0,1,0,0,0,17,0,0,3,0,Consumer Services,Oct-49,0,0,0,100.0,100.0,10.0,10.0,0,9,1,1,0.0,0,104,6605.04,8100.84,1182.48,313.32,0.0,0.0,0.0,1,1,1,100,100,0,3.0,0.666666667,3.0,3.0,1,0,1.0,1.0,0,0,1
JMAN_2448264,2023-01-20,0,1,0,0,0,0,0,0,1,16,0,0,5,0,"Retail, Wholesale & Distribution",Oct-49,0,100,50,,,,,0,8,0,0,10.0,0,16,9360.0,8424.0,-936.0,0.0,-936.0,-2052.0,0.0,1,1,0,100,100,0,10.0,0.0,9.0,9.0,0,1,0.9,1.0,0,1,1
JMAN_2448495,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,3,0,Technology,01-Sep,0,0,0,,,,,0,9,1,1,0.0,0,0,64.92,66.24,0.0,1.32,0.0,0.0,0.0,0,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_2448716,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,3,0,Technology,01-Sep,0,0,0,,,,,0,0,0,0,20.0,0,160,2659.8,6110.28,3231.48,219.0,0.0,2018.52,0.0,1,1,0,100,100,0,4.0,0.0,4.0,4.0,0,0,1.0,1.0,0,0,1
JMAN_2448722,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,6,0,,01-Sep,0,0,0,,,,,0,0,0,0,14.0,0,0,636.36,648.72,0.0,12.36,0.0,0.0,0.0,1,1,0,100,100,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_2449227,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,5,0,Corporate Services,01-Sep,0,0,0,,,,,0,0,0,0,20.0,0,0,2127.84,1928.76,-273.48,74.4,-652.53,0.0,0.0,1,0,0,100,100,0,4.0,0.25,4.0,4.0,1,0,1.0,1.0,0,0,1
